,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pKi
0,CHEMBL61236,Nc1ccc2ccccc2n1,active,144.177,1.817,1.0,2.0,428000.0,3.3685562309868278
1,CHEMBL2335165,Cc1cc(N2CCNCC2)c2ccccc2n1,active,227.31100000000004,1.9528199999999998,1.0,3.0,606000.0,3.217527375833714
2,CHEMBL4564378,Cc1cc(N2CCN(C)CC2)c2ccccc2n1,inactive,241.33800000000002,2.29502,0.0,3.0,2000000.0,2.6989700043360187
3,CHEMBL4591176,CC(=O)N1CCN(c2cc(C)nc3ccccc23)CC1,active,269.348,2.2117200000000006,0.0,3.0,815000.0,3.088842391260023
4,CHEMBL4439064,Cc1cc(N2CCN(C(=O)OC(C)(C)C)CC2)c2ccccc2n1,inactive,327.428,3.6003200000000026,0.0,4.0,2000000.0,2.6989700043360187
5,CHEMBL4472230,Cc1cc(N2CCN(Cc3ccccc3)CC2)c2ccccc2n1,active,317.43600000000004,3.865420000000003,0.0,3.0,1000000.0,3.0
6,CHEMBL4532576,Cc1cc(N2CCCCC2)c2ccccc2n1,active,226.32300000000004,3.533520000000002,0.0,2.0,403000.0,3.3946949538588904
7,CHEMBL4445044,Cc1cc(N2CCOCC2)c2ccccc2n1,inactive,228.29500000000002,2.3798200000000005,0.0,3.0,1600000.0,2.795880017344075
8,CHEMBL4567046,Cc1cc(N2CCCNCC2)c2ccccc2n1,active,241.33800000000002,2.3429200000000003,1.0,3.0,271000.0,3.567030709125594
9,CHEMBL1906835,COCCNc1cc(C)nc2ccccc12,active,216.284,2.6015200000000007,1.0,3.0,1120000.0,2.9507819773298185
10,CHEMBL4448693,Cc1cc(NCCN(C)C)c2ccccc2n1,active,229.32700000000003,2.5167200000000003,1.0,3.0,722000.0,3.141462802430361
11,CHEMBL595536,Cc1cc(N)c2ccccc2n1,active,158.204,2.12542,1.0,2.0,1070000.0,2.9706162223147903
12,CHEMBL2441621,c1ccc2c(N3CCNCC3)ccnc2c1,active,213.284,1.6443999999999999,1.0,3.0,697000.0,3.1567672219019904
13,CHEMBL4590803,Brc1ccc2nccc(N3CCNCC3)c2c1,active,292.18,2.4069000000000003,1.0,3.0,231000.0,3.6363880201078556
14,CHEMBL236696,Clc1ccc2c(N3CCNCC3)ccnc2c1,active,247.72899999999998,2.2977999999999996,1.0,3.0,583000.0,3.234331445240986
15,CHEMBL2441615,FC(F)(F)c1ccc2c(N3CCNCC3)ccnc2c1,active,281.281,2.6632000000000007,1.0,3.0,894000.0,3.048662481204082
16,CHEMBL4471481,FC(F)(F)c1cccc2c(N3CCNCC3)ccnc12,inactive,281.28099999999995,2.6632000000000007,1.0,3.0,1540000.0,2.812479279163537
17,CHEMBL4434889,COc1ccc2nccc(N3CCNCC3)c2c1,active,243.30999999999995,1.6529999999999998,1.0,4.0,466000.0,3.33161408331
18,CHEMBL4562924,COc1cc2nccc(N3CCNCC3)c2cc1OC,active,273.33599999999996,1.6616,1.0,5.0,598000.0,3.223298816011589
19,CHEMBL18772,c1ccc2nc(N3CCNCC3)ccc2c1,inactive,213.284,1.6443999999999999,1.0,3.0,1410000.0,2.85078088734462
20,CHEMBL1559535,Cc1cc(N2CCNCC2)nc2ccccc12,active,227.31100000000004,1.95282,1.0,3.0,1070000.0,2.9706162223147903
21,CHEMBL339069,c1cc(N2CCNCC2)ccn1,active,163.22400000000002,0.4911999999999999,1.0,3.0,302000.0,3.5199930570428495
22,CHEMBL277120,c1ccc2c(N3CCNCC3)cccc2c1,inactive,212.296,2.2494000000000005,1.0,2.0,1520000.0,2.8181564120552274
23,CHEMBL14474,c1ccc2ncccc2c1,inactive,129.16199999999998,2.2348,0.0,1.0,2000000.0,2.6989700043360187
24,CHEMBL194931,Cc1ccc2ccccc2n1,inactive,143.189,2.5432200000000007,0.0,1.0,2000000.0,2.6989700043360187
25,CHEMBL186422,O=c1ccc2ccccc2[nH]1,inactive,145.161,1.5280999999999998,1.0,1.0,2000000.0,2.6989700043360187
26,CHEMBL4586378,NCc1ccc2ccccc2n1,inactive,158.20399999999998,1.6935,1.0,2.0,2000000.0,2.6989700043360187
27,CHEMBL100194,Nc1cccc2ncccc12,inactive,144.177,1.817,1.0,2.0,2000000.0,2.6989700043360187
28,CHEMBL58146,Nc1ccnc2ccccc12,inactive,144.177,1.817,1.0,2.0,1520000.0,2.8181564120552274
29,CHEMBL99408,Nc1ccc2ncccc2c1,inactive,144.177,1.817,1.0,2.0,2000000.0,2.6989700043360187
30,CHEMBL99932,Nc1cccc2cccnc12,inactive,144.17699999999996,1.817,1.0,2.0,2000000.0,2.6989700043360187
31,CHEMBL80298,Nc1cnc2ccccc2c1,inactive,144.17699999999996,1.817,1.0,2.0,2000000.0,2.6989700043360187
32,CHEMBL319543,CNc1ccc2ccccc2n1,inactive,158.20399999999998,2.2765000000000004,1.0,2.0,1370000.0,2.8632794328435933
33,CHEMBL4563388,CN(C)c1ccc2ccccc2n1,inactive,172.23099999999997,2.3007999999999997,0.0,2.0,1660000.0,2.779891911959945
